企業名,店コード,店名,実績期間FROM,実績期間TO,ゴンドラコード,ゴンドラ名,総売上金額合計,定番売上金額合計,定番売上金額,定番10CM当り売上,総売上金額,定番荒利金額,総荒利金額
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1702,一般食品  ,346778842,300133873,589116,6540,1246969,124642,141381
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1703,一般食品  ,346778842,300133873,180103,2000,1092950,32688,76891
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1704,一般食品  ,346778842,300133873,819704,9100,1078270,164760,186098
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1705,一般食品  ,346778842,300133873,399179,4430,399179,87622,87622
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1706,一般食品  ,346778842,300133873,349915,3880,429511,73987,78007
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1707,一般食品  ,346778842,300133873,399206,4430,480398,74422,75238
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1708,一般食品  ,346778842,300133873,334368,3710,334368,79598,79598
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1709,一般食品  ,346778842,300133873,524659,5820,524659,95455,95455
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1710,一般食品  ,346778842,300133873,275434,3060,275434,57652,57652
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1711,一般食品  ,346778842,300133873,429862,4770,1131518,51019,5059
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1712,一般食品  ,346778842,300133873,322247,3580,782136,39917,14496
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1713,一般食品  ,346778842,300133873,221726,2460,221726,44744,44744
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1714,一般食品  ,346778842,300133873,414133,4600,551208,88924,94914
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1715,一般食品  ,346778842,300133873,442127,4910,514720,92174,96612
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1716,一般食品  ,346778842,300133873,157181,1740,157181,33773,33773
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1717,一般食品  ,346778842,300133873,228425,2530,228425,46946,46946
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1718,一般食品  ,346778842,300133873,229447,2540,370930,36558,35001
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1719,一般食品  ,346778842,300133873,724927,8050,724927,49475,49475
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1720,一般食品  ,346778842,300133873,195659,2170,195659,44486,44486
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1721,一般食品  ,346778842,300133873,123198,1360,123198,29867,29867
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1722,一般食品  ,346778842,300133873,263828,2930,292934,57394,61216
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1723,一般食品  ,346778842,300133873,379487,4210,379487,86881,86881
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1724,一般食品  ,346778842,300133873,175163,1940,194031,42589,43861
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1725,一般食品  ,346778842,300133873,619605,6880,619605,162729,162729
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1726,一般食品  ,346778842,300133873,820047,9110,820047,198042,198042
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1727,一般食品  ,346778842,300133873,1000361,11110,1000361,263210,263210
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1729,一般食品  ,346778842,300133873,61983,680,61983,18554,18554
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1802,一般食品  ,346778842,300133873,391652,4350,391652,89992,89992
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1803,一般食品  ,346778842,300133873,623179,6920,623179,151661,151661
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1804,一般食品  ,346778842,300133873,267051,2960,267051,66414,66414
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1805,一般食品  ,346778842,300133873,479114,5320,479114,115273,115273
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1806,一般食品  ,346778842,300133873,244059,2710,244059,45488,45488
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1807,一般食品  ,346778842,300133873,408108,4530,408108,107843,107843
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1808,一般食品  ,346778842,300133873,133695,1480,133695,33459,33459
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1809,一般食品  ,346778842,300133873,202604,2250,202604,56445,56445
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1810,一般食品  ,346778842,300133873,147882,1640,147882,36874,36874
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1811,一般食品  ,346778842,300133873,506455,5620,506455,121202,121202
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1812,一般食品  ,346778842,300133873,186915,2070,321837,44023,52348
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1813,一般食品  ,346778842,300133873,198749,2200,198749,56129,56129
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1814,一般食品  ,346778842,300133873,291592,3230,322766,63525,65241
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1815,一般食品  ,346778842,300133873,145574,1610,145574,33510,33510
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1816,一般食品  ,346778842,300133873,593232,6590,735368,92500,87284
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1817,一般食品  ,346778842,300133873,469932,5220,555933,70232,67076
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1818,一般食品  ,346778842,300133873,370196,4110,370196,56228,56228
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1819,一般食品  ,346778842,300133873,412671,4580,412671,74745,74745
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1820,一般食品  ,346778842,300133873,488008,5420,488008,115303,115303
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1821,一般食品  ,346778842,300133873,462331,5130,462331,113955,113955
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1822,一般食品  ,346778842,300133873,797879,8860,1345112,181079,222641
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1823,一般食品  ,346778842,300133873,435410,4830,435410,103405,103405
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1824,一般食品  ,346778842,300133873,293044,3250,299911,65009,65261
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1825,一般食品  ,346778842,300133873,204052,2260,509406,44455,81919
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1826,一般食品  ,346778842,300133873,605771,6730,821609,159456,181186
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1827,一般食品  ,346778842,300133873,186534,2070,186534,43137,43137
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1829,一般食品  ,346778842,300133873,63112,700,63112,16100,16100
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1900,一般食品  ,346778842,300133873,26712,290,26712,7314,7314
株式会社マルエーうちや　　　,5,泉　　　　　　　　　,20251201,20260228,1902,一般食品  ,346778842,300133873,139232,1540,139232,36053,36053
